work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EN,FT,Data Engineer,130002,US,100,US,M
2023,EN,FT,Research Engineer,155000,US,0,US,M
2023,EN,FT,Data Scientist,135000,US,0,US,M
2023,EN,FT,Data Analyst,100000,UZ,100,US,L
2023,EN,FT,Data Scientist,190000,US,0,US,M
2023,EN,FT,Data Scientist,71907,US,100,US,M
2023,EN,FT,Data Engineer,61800,US,100,US,M
2023,EN,FT,Data Engineer,125000,US,0,US,M
2023,EN,FT,Research Scientist,150000,US,0,US,M
2023,EN,FT,Data Engineer,71908,US,100,US,M
2023,EN,FT,Machine Learning Engineer,145885,US,0,US,M
2023,EN,FT,Cloud Data Engineer,100000,DE,50,US,L
2023,EN,FT,Research Scientist,250800,US,0,US,M
2023,EN,FT,Research Engineer,120000,US,0,US,M
2023,EN,FT,Financial Data Analyst,56500,US,50,US,L
2023,EN,FT,Data Analyst,64200,US,100,US,M
2023,MI,FT,Data Analyst,90000,US,0,US,M
2023,MI,FT,Data Engineer,198900,US,0,US,M
2023,MI,FT,Data Engineer,103000,US,0,US,M
2023,MI,FT,Data Manager,115500,US,0,US,M
2023,MI,FT,Data Engineer,167500,US,0,US,M
2023,MI,FT,Data Analyst,88000,US,0,US,M
2023,MI,FT,Data Scientist,122200,US,0,US,M
2023,MI,FT,Data Scientist,135000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,126277,US,0,US,M
2023,MI,FT,Data Engineer,180000,US,100,US,M
2023,MI,FT,Director of Data Science,217000,US,0,US,M
2023,MI,FT,Data Strategist,73500,US,0,US,M
2023,MI,FT,Data Engineer,129300,US,0,US,M
2023,MI,FT,Data Engineer,100000,US,100,US,M
2023,MI,FT,Data Analytics Manager,140000,US,0,US,M
2023,MI,FT,Data Engineer,162500,US,0,US,M
2023,MI,FT,Data Manager,130000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,150000,US,0,US,M
2023,MI,FT,Data Engineer,75000,US,0,US,M
2023,MI,FT,Data Scientist,128750,US,0,US,M
2023,MI,FT,Data Scientist,175000,US,0,US,M
2023,MI,FT,Data Analyst,103200,US,0,US,M
2023,MI,FT,AI Developer,200000,US,100,US,M
2023,MI,FT,Data Manager,70000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,150450,US,100,US,M
2023,MI,FT,Data Analyst,85000,US,0,US,M
2023,MI,FT,Data Scientist,125000,US,0,US,M
2023,MI,FT,Data Engineer,175000,US,0,US,M
2023,MI,FT,Data Analytics Manager,140000,US,0,US,M
2023,MI,FT,Data Analyst,65000,US,100,US,M
2023,MI,FT,Data Analytics Manager,120000,US,0,US,M
2023,MI,FT,Research Scientist,405000,US,0,US,L
2023,MI,FT,Data Engineer,175000,US,0,US,M
2023,MI,FT,Data Engineer,129300,US,0,US,M
2023,MI,FT,Data Analyst,100000,US,100,US,M
2023,MI,FT,Data Architect,150000,US,100,US,M
2023,MI,FT,Data Analyst,90000,US,100,US,M
2023,MI,FT,Data Scientist,180000,US,0,US,M
2023,MI,FT,Data Engineer,152375,US,100,US,M
2023,MI,FT,Financial Data Analyst,130000,US,100,US,L
2023,MI,FT,Machine Learning Engineer,300000,US,0,US,M
2023,MI,FT,Data Analyst,104000,US,0,US,M
2023,MI,FT,Data Engineer,70000,US,100,US,M
2023,MI,FT,Data Analyst,229000,US,0,US,M
2023,MI,FT,Data Manager,73500,US,0,US,M
2023,MI,FT,Applied Scientist,250000,US,0,US,M
2023,MI,FT,BI Developer,110000,US,0,US,M
2023,MI,FT,Data Scientist,70000,US,0,US,M
2023,MI,FT,Data Quality Analyst,70000,US,0,US,M
2023,MI,FT,Research Scientist,125000,US,0,US,M
2023,MI,FT,Data Engineer,130000,US,100,US,M
2023,MI,FT,Data Scientist,130000,US,0,US,M
2023,MI,FT,Data Engineer,146000,US,0,US,M
2023,MI,FT,Data Manager,120000,US,0,US,M
2023,MI,FT,Data Engineer,120000,US,0,US,M
2023,MI,FT,Analytics Engineer,116480,US,0,US,M
2023,MI,FT,Research Scientist,185000,US,100,US,M
2023,MI,FT,ML Engineer,160000,US,0,US,M
2023,MI,FT,Data Scientist,150000,US,100,US,M
2023,MI,FT,Data Analyst,75000,US,100,US,M
2023,MI,FT,Data Analyst,86400,US,0,US,M
2023,MI,FT,Data Science Lead,191765,US,0,US,M
2023,MI,FT,Data Engineer,91000,US,0,US,M
2023,MI,FT,Decision Scientist,142200,US,0,US,M
2023,MI,FT,Data Engineer,120000,US,0,US,M
2023,MI,FT,Data Analyst,90000,US,0,US,M
2023,MI,FT,Data Engineer,121000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,190000,US,0,US,L
2023,MI,FT,Data Analyst,62500,US,100,US,M
2023,MI,FT,Machine Learning Engineer,200000,US,0,US,M
2023,MI,FT,Machine Learning Scientist,230000,US,0,US,M
2023,MI,FT,Data Engineer,130000,US,0,US,M
2023,MI,FT,Data Architect,100000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,170000,US,0,US,S
2023,MI,FT,Machine Learning Engineer,150000,US,100,US,M
2023,MI,FT,Data Manager,115500,US,0,US,M
2023,MI,FT,Data Scientist,138900,US,0,US,M
2023,MI,FT,Data Analyst,112000,US,0,US,M
2023,MI,FT,Data Analyst,59000,US,100,US,M
2023,MI,FT,Data Analyst,110000,US,100,US,M
2023,MI,FT,Research Engineer,125000,US,0,US,M
2023,MI,FT,Data Engineer,90000,US,100,US,M
2023,MI,FT,Data Manager,100000,US,0,US,M
2023,MI,FT,Data Engineer,120000,US,100,US,M
2023,MI,FT,Data Analyst,160000,US,0,US,M
2023,MI,FT,Data Analyst,93000,US,100,US,L
2023,MI,FT,Data Engineer,149600,US,0,US,M
2023,MI,FT,Data Manager,135000,US,0,US,M
2023,MI,FT,Data Analytics Manager,155000,US,0,US,M
2023,MI,FT,Data Manager,73500,US,0,US,M
2023,MI,FT,Data Scientist,90000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,150000,US,100,US,M
2023,MI,FT,Data Engineer,125000,US,100,US,M
2023,MI,FT,Data Scientist,100000,US,0,US,M
2023,MI,FT,Data Operations Analyst,44640,US,100,US,M
2023,MI,FT,Applied Scientist,222200,US,0,US,L
2023,MI,FT,Data Manager,73500,US,0,US,M
2023,MI,FT,Data Engineer,110000,US,0,US,M
2023,MI,FT,Data Scientist,156000,US,0,US,M
2023,MI,FT,Data Scientist,130000,US,0,US,M
